Number of attempt,Reward,Time taken,Number of actions
0,-529.0,300.4365243911743,1030
1,-1013.0,300.27184081077576,1013
2,-496.0,300.303715467453,996
3,-463.0,300.31178617477417,963
4,-962.0,300.37361454963684,963
5,-460.0,300.2816381454468,960
6,-455.0,300.3216314315796,955
7,-412.0,300.44169425964355,913
8,-380.0,300.399090051651,881
9,127.0,300.2196662425995,873
10,-359.0,300.3567969799042,860
11,-850.0,300.38568687438965,850
12,-342.0,300.26720094680786,842
13,-842.0,300.40540385246277,843
14,-341.0,300.4263834953308,842
15,-841.0,300.441987991333,842
16,-840.0,300.18046259880066,840
17,-341.0,300.2896854877472,841
18,-340.0,300.2079985141754,840
19,-341.0,300.5124671459198,842
20,-341.0,300.55160546302795,842
21,-328.0,300.18939566612244,828
22,-340.0,300.3183867931366,840
23,-340.0,300.24138045310974,840
24,163.0,300.4479672908783,838
25,-833.0,300.4042716026306,834
26,-332.0,300.52344822883606,833
27,-831.0,300.2873351573944,831
28,-831.0,300.4836070537567,832
29,-333.0,300.53385949134827,834
