,Number of attempt,Reward,Time taken,Number of actions
0,0,-474.0,299.4305531978607,975
1,1,-416.0,300.59185218811035,917
2,2,-873.0,300.50824069976807,874
3,3,-369.0,300.36423540115356,869
4,4,-366.0,300.3888096809387,867
5,5,-365.0,300.3161301612854,865
6,6,-362.0,300.3923704624176,863
7,7,-363.0,300.2203414440155,863
8,8,-365.0,300.31573247909546,865
9,9,-339.0,300.36121368408203,839
10,10,-822.0,300.27751994132996,822
11,11,-323.0,300.3718388080597,824
12,12,-817.0,300.417142868042,818
13,13,-813.0,300.52836441993713,814
14,14,-314.0,300.30040550231934,814
15,15,-814.0,300.462117433548,815
16,16,-311.0,300.3147294521332,811
17,17,-309.0,300.26439356803894,809
18,18,-304.0,300.4602687358856,805
19,19,-805.0,300.3394901752472,805
20,20,-304.0,300.50775027275085,805
21,21,-299.0,300.3019108772278,799
22,22,-301.0,300.29878973960876,801
23,23,-800.0,300.5784523487091,801
24,24,-300.0,300.44763684272766,801
25,25,-799.0,300.3740677833557,800
26,26,-300.0,300.2483263015747,800
27,27,-300.0,300.230495929718,800
28,28,-300.0,300.57539319992065,801
29,29,-296.0,300.29291820526123,796
