,Number of attempt,Reward,Time taken,Number of actions
0,0,-526.0,300.35123586654663,1026
1,1,-505.0,300.147332906723,1005
2,2,-483.0,300.2189841270447,983
3,3,-475.0,300.36037254333496,976
4,4,-448.0,300.2014856338501,948
5,5,-445.0,300.3916492462158,946
6,6,-437.0,300.2297806739807,937
7,7,-437.0,300.42884826660156,938
8,8,-431.0,300.3149561882019,932
9,9,-437.0,300.41764664649963,938
10,10,-411.0,300.4795551300049,912
11,11,-425.0,300.27043294906616,925
12,12,-411.0,300.3122980594635,912
13,13,-931.0,300.49035453796387,932
14,14,-432.0,300.36163353919983,933
15,15,-434.0,300.269611120224,934
16,16,-932.0,300.4250328540802,933
17,17,-430.0,300.30202078819275,931
18,18,-429.0,300.22483825683594,929
19,19,-431.0,300.35554909706116,932
20,20,-932.0,300.2462441921234,932
21,21,-432.0,300.2526032924652,932
22,22,-925.0,300.23500537872314,925
23,23,-416.0,300.4427559375763,917
24,24,-915.0,300.2400412559509,915
25,25,-915.0,300.2036600112915,915
26,26,-917.0,300.20801162719727,917
27,27,-416.0,300.35638999938965,917
28,28,-911.0,300.418310880661,912
29,29,-398.0,300.2414171695709,898
