Number of attempt,Reward,Time taken,Number of actions
0,-140.0,298.53628516197205,641
1,-75.0,300.55053997039795,576
2,4.0,301.393581867218,497
3,-516.0,300.24536418914795,1016
4,-1027.0,300.3240222930908,1027
5,-521.0,300.17753434181213,1021
6,-538.0,300.2486963272095,1039
7,-532.0,300.3599183559418,1033
8,-390.0,300.80076909065247,891
9,17.0,301.1615254878998,484
10,48.0,300.6364793777466,453
11,30.0,300.62849164009094,471
12,-37.0,300.7951352596283,538
13,28.0,301.06003856658936,473
14,44.0,300.8583528995514,457
15,69.0,300.55146312713623,431
16,63.0,300.6542966365814,438
17,72.0,300.92731046676636,429
18,-440.0,300.7918429374695,441
19,69.0,301.31655049324036,432
20,102.0,301.01663970947266,399
21,109.0,300.8127918243408,392
22,88.0,300.832483291626,413
23,25.0,300.973735332489,476
24,58.0,300.6562035083771,443
25,38.0,300.8906955718994,463
26,60.0,300.8687446117401,441
27,35.0,300.88155698776245,466
28,41.0,300.9219105243683,460
29,52.0,300.9550178050995,449
