,Number of attempt,Reward,Time taken,Number of actions
0,0,-1028.0,300.2979452610016,1029
1,1,-500.0,300.25427865982056,1001
2,2,-488.0,300.29075932502747,989
3,3,-479.0,300.3258411884308,979
4,4,-473.0,300.23904490470886,973
5,5,-472.0,300.20298409461975,972
6,6,34.0,300.3177673816681,966
7,7,74.0,300.23983573913574,926
8,8,-393.0,300.1608097553253,893
9,9,127.0,300.43333983421326,874
10,10,-347.0,300.2563695907593,847
11,11,-343.0,300.2867147922516,843
12,12,-839.0,300.2700958251953,839
13,13,-338.0,300.34810733795166,838
14,14,-838.0,300.2665207386017,838
15,15,-338.0,300.41415333747864,839
16,16,163.0,300.211377620697,837
17,17,-830.0,300.2479577064514,830
18,18,-326.0,300.4865069389343,827
19,19,173.0,300.2521963119507,827
20,20,-324.0,300.2571032047272,824
21,21,-324.0,300.4648668766022,825
22,22,-324.0,300.44464325904846,825
23,23,-325.0,300.19581365585327,825
24,24,-800.0,300.2444953918457,800
25,25,177.0,300.3787167072296,823
26,26,-325.0,300.25699496269226,825
27,27,-824.0,300.5993061065674,825
28,28,-324.0,300.3581087589264,825
29,29,-323.0,300.3963096141815,824
