,Number of attempt,Reward,Time taken,Number of actions
0,0,-539.0,300.37184405326843,1040
1,1,-533.0,300.35953426361084,1034
2,2,-489.0,300.18842005729675,989
3,3,-987.0,300.27404165267944,987
4,4,-488.0,300.243451833725,988
5,5,-484.0,300.4164934158325,985
6,6,-483.0,300.4098701477051,984
7,7,-982.0,300.2192289829254,982
8,8,-484.0,300.2456543445587,984
9,9,-979.0,300.45465779304504,980
10,10,-447.0,300.364999294281,948
11,11,-945.0,300.4876358509064,946
12,12,79.0,300.28617548942566,921
13,13,-401.0,300.19007658958435,901
14,14,-402.0,300.2768042087555,902
15,15,114.0,300.4312024116516,887
16,16,-364.0,300.3610579967499,865
17,17,-365.0,300.1908860206604,865
18,18,-362.0,300.37265515327454,863
19,19,-363.0,300.2769875526428,863
20,20,-354.0,300.50848507881165,855
21,21,-353.0,300.25765347480774,853
22,22,-353.0,300.25056624412537,853
23,23,-853.0,300.1741478443146,853
24,24,-852.0,300.26904797554016,852
25,25,-851.0,300.5598165988922,852
26,26,-343.0,300.3570075035095,844
27,27,-326.0,300.19666743278503,826
28,28,-825.0,300.5253484249115,826
29,29,177.0,300.5943512916565,824
