Number of attempt,Reward,Time taken,Number of actions
0,9696,89.83545399,314
1,-1063,300.3833728,1064
2,10908,182.4468989,593
3,-878,300.492882,879
4,9781,73.10760999,210
5,701,300.6423235,800
6,9582,168.7887056,419
7,10378,51.47422314,123
8,-205,300.4311993,705
9,-696,300.4746952,697
10,-194,300.5773573,695
11,-690,300.3254673,690
12,-687,300.3707473,687
13,-185,300.3655818,685
14,9883,56.56199384,128
15,-678,300.6674886,679
16,325,300.2829411,675
17,341,300.5433779,660
18,-147,300.3922665,647
19,855,300.6639717,646
20,-642,300.6327202,643
21,-644,300.3805664,644
22,857,300.5733917,644
23,-642,300.724858,643
24,868,298.9712491,633
25,9446,265.497787,555
26,372,300.6247675,629
27,396,300.7557108,605
28,-621,300.844487,622
29,-618,300.533669,619
