Number of attempt,Reward,Time taken,Number of actions
0,-742.0,300.6891858577728,743
1,-615.0,300.71309542655945,616
2,-578.0,300.57761240005493,579
3,-553.0,300.8546929359436,554
4,-540.0,300.71222138404846,541
5,11092.0,238.09638738632202,409
6,-444.0,300.7867078781128,444
7,9717.0,195.74471950531006,284
8,583.0,300.6799864768982,418
9,-417.0,300.9833941459656,418
10,601.0,301.3938093185425,400
11,-401.0,300.9127700328827,402
12,96.0,300.9227879047394,405
13,102.0,300.65178871154785,398
14,2110.0,300.71198749542236,391
15,118.0,301.0115418434143,383
16,1158.0,272.76756715774536,342
17,11753.0,205.49962186813354,248
18,10470.0,26.257941961288452,31
19,-359.0,301.0257546901703,360
20,650.0,300.884220123291,351
21,-352.0,301.272314786911,353
22,148.0,301.4056534767151,353
23,724.0,236.7443664073944,277
24,9882.0,109.45573902130127,119
25,655.0,301.2911820411682,346
26,-350.0,300.748836517334,350
27,165.0,301.0703091621399,336
28,-344.0,300.7283139228821,344
29,-347.0,301.09870052337646,348
