,Number of attempt,Reward,Time taken,Number of actions
0,0,-1010.0,300.39439153671265,1011
1,1,-978.0,300.22697830200195,978
2,2,9780.0,241.69418668746948,720
3,3,9920.0,29.03670048713684,80
4,4,-820.0,300.5374836921692,821
5,5,9730.0,102.32913613319397,270
6,6,-762.0,300.6179711818695,763
7,7,10070.0,177.76439213752747,431
8,8,372.0,55.44081974029541,129
9,9,314.0,300.5836281776428,687
10,10,-684.0,300.44769406318665,684
11,11,831.0,300.4044609069824,669
12,12,-652.0,300.6677303314209,653
13,13,356.0,300.62611293792725,645
14,14,-134.0,300.7754616737366,635
15,15,-632.0,300.6880669593811,633
16,16,12185.0,150.13787651062012,316
17,17,370.0,300.7029016017914,631
18,18,-129.0,300.7215359210968,630
19,19,-129.0,300.4570186138153,629
20,20,602.0,191.5702133178711,399
21,21,-621.0,300.70415687561035,622
22,22,9858.0,70.1682300567627,143
23,23,-114.0,300.52346110343933,615
24,24,-114.0,300.65099477767944,615
25,25,-115.0,300.4429876804352,615
26,26,894.0,300.6605634689331,607
27,27,-96.0,300.72395300865173,597
28,28,-203.0,102.65450930595398,203
29,29,-595.0,300.64000487327576,596
