Number of attempt,Reward,Time taken,Number of actions
0,-587,300.2602162,1088
1,9,300.2938204,991
2,119,300.4230378,882
3,-843,300.3286381,844
4,-338,300.4546685,839
5,-831,300.2789547,831
6,-826,300.5467615,827
7,207,300.3408093,793
8,-269,300.5627027,770
9,-767,300.3933764,767
10,11727,109.1792364,274
11,10524,199.5398443,477
12,-701,300.498502,702
13,-699,300.6588795,700
14,-197,300.5648882,698
15,10726,120.7473001,275
16,-170,300.5080328,671
17,-671,300.5659401,672
18,-666,300.6752787,667
19,-166,300.5058935,667
20,1340,300.7346678,661
21,-648,300.4363379,648
22,10939,261.5731995,562
23,-636,300.7085142,637
24,-637,300.5964818,638
25,9473,252.4841843,535
26,9581,198.1349699,419
27,-636,300.3797047,636
28,-635,300.7021616,636
29,11149,167.0671959,352
