,Number of attempt,Reward,Time taken,Number of actions
0,0,556.0,300.3066418170929,945
1,1,-359.0,300.52452778816223,860
2,2,-325.0,300.4735631942749,826
3,3,-626.0,234.92472314834595,627
4,4,-266.0,300.483273267746,767
5,5,-755.0,300.31682419776917,755
6,6,10654.0,140.10454678535461,347
7,7,-231.0,300.328999042511,731
8,8,175.0,136.801203250885,326
9,9,-196.0,300.29925775527954,696
10,10,10615.0,168.88567090034485,386
11,11,-680.0,300.52152943611145,681
12,12,324.0,300.3364305496216,676
13,13,-500.0,225.49485039710999,501
14,14,-659.0,300.79620909690857,660
15,15,-149.0,300.4336316585541,649
16,16,-148.0,300.68004083633423,649
17,17,-648.0,300.72657322883606,649
18,18,9726.0,127.6635274887085,275
19,19,-646.0,300.5775728225708,647
20,20,9853.0,68.56798434257507,147
21,21,-646.0,300.4571747779846,646
22,22,9571.0,199.92817878723145,429
23,23,-645.0,300.62166380882263,646
24,24,10325.0,82.47219824790955,176
25,25,-642.0,300.61033606529236,643
26,26,9897.0,48.9685173034668,104
27,27,361.0,300.43953347206116,640
28,28,-640.0,300.4825987815857,640
29,29,-640.0,300.42065834999084,640
