Number of attempt,Reward,Time taken,Number of actions
0,-205.0,300.6898262500763,706
1,-41.0,300.56603360176086,541
2,51.0,300.75613474845886,450
3,17.0,300.83509826660156,484
4,-62.0,37.39012312889099,63
5,2062.0,300.6856849193573,438
6,602.0,301.2119109630585,399
7,0.0,301.0603120326996,0
8,-393.0,300.8987684249878,394
9,9685.0,246.62705779075623,316
10,123.0,300.92773962020874,378
11,-370.0,300.6330804824829,370
12,685.0,264.95445466041565,316
13,-358.0,301.1595091819763,359
14,148.0,301.22087955474854,353
15,166.0,301.07662296295166,335
16,9786.0,192.4788303375244,215
17,-336.0,300.9594347476959,337
18,-328.0,301.0049321651459,329
19,-327.0,301.22198009490967,328
20,676.0,301.02549481391907,325
21,-15.0,14.589826583862305,16
22,-322.0,301.0318536758423,323
23,10355.0,134.4341824054718,146
24,-329.0,301.3263237476349,330
25,-333.0,301.19572472572327,334
26,-328.0,300.8714919090271,328
27,162.0,301.10855650901794,339
28,163.0,300.9594724178314,338
29,-329.0,301.3141825199127,330
