Number of attempt,Reward,Time taken,Number of actions
0,9118,248.4903686,882
1,-1016,300.3616858,1017
2,-956,300.2865305,956
3,-852,300.1972761,852
4,200,300.3674939,801
5,-291,300.3265808,791
6,10141,139.9034879,360
7,10342,64.49988484,159
8,10743,107.7068317,258
9,10395,45.07817602,105
10,808,300.2957535,692
11,-680,300.4136128,680
12,-583,258.9119463,583
13,10442,250.7607508,559
14,-167,300.3805537,667
15,10037,209.5547469,464
16,341,300.4217427,660
17,-659,300.6377461,660
18,-659,300.6978309,660
19,10513,222.9198265,488
20,-658,300.3438001,658
21,343,300.4322746,657
22,-657,300.3869438,657
23,-156,300.3791001,656
24,11186,145.390357,315
25,355,300.5664837,646
26,-641,300.3106928,641
27,10359,67.16020179,142
28,-124,300.3621495,624
29,-638,300.6351602,639
