Number of attempt,Reward,Time taken,Number of actions
0,-717.0,300.716881275177,718
1,-568.0,300.6404547691345,569
2,396.0,300.4644114971161,604
3,10428.0,42.64057683944702,73
4,219.0,165.16779804229736,282
5,-508.0,300.6126489639282,509
6,-451.0,301.1172432899475,452
7,-487.0,300.75652146339417,488
8,-473.0,300.67401242256165,474
9,62.0,300.71447682380676,439
10,40.0,301.0321726799011,461
11,-407.0,301.05301690101624,408
12,-196.0,141.9775013923645,196
13,-414.0,300.6367301940918,414
14,-413.0,301.0888159275055,414
15,92.0,301.10885286331177,409
16,622.0,301.2398774623871,379
17,-364.0,299.5337836742401,365
18,-335.0,300.9017436504364,336
19,-323.0,301.6406137943268,324
20,-361.0,301.315735578537,362
21,111.0,300.7772796154022,389
22,11267.0,184.82659673690796,233
23,188.0,301.1152698993683,313
24,9705.0,248.9525547027588,296
25,9747.0,203.2732710838318,254
26,156.0,301.239355802536,345
27,160.0,301.3879773616791,341
28,1222.0,250.7008638381958,279
29,139.0,300.8773033618927,362
