Number of attempt,Reward,Time taken,Number of actions
0,-4171,360.200943,1812
1,-4460,360.2171409,2652
2,7596,230.1187589,4398
3,-5734,360.2000451,6956
4,-5481,360.2039979,6729
5,-5783,360.1607015,2963
6,8079,186.1061943,1301
7,-6195,360.271122,2437
8,7048,229.7005367,2110
9,-4931,360.1048093,4617
10,-5376,360.153374,5148
11,7579,177.8077493,3522
12,-4853,360.1819749,7081
13,6734,331.3071971,6540
14,-6190,360.1069989,7381
15,-4880,360.2445953,6188
16,-4716,360.2613425,5595
17,-3770,360.218123,5707
18,-3626,360.2375169,5523
19,-4201,360.2779028,5618
20,10370,95.73703837,1469
21,-3670,360.2154803,5532
22,-4249,360.1789739,5578
23,-4312,360.242486,5691
24,9120,169.7233839,2604
25,10239,101.8722425,1601
26,9655,134.7774751,2129
27,-4326,360.2025146,5679
28,-4298,360.1835239,5664
29,-4904,360.2130604,5778
30,-3399,360.2683444,5782
31,-5842,360.1812634,5722
32,9590,133.4600024,2177
33,-3448,360.1641479,5795
34,-4377,360.1632614,5730
35,-3857,360.1735837,5756
36,-2340,360.2158768,5702
37,-4824,360.1486716,5677
38,-3417,360.2511845,5773
39,9826,155.5387425,2425
40,9123,109.5972621,1687
41,9264,238.3720067,3779
42,7995,312.0751598,4945
43,-4326,360.1432552,5681
44,-3908,360.1958506,5748
45,-4442,360.1874797,5817
46,-4320,360.126667,5699
47,-3804,360.1659367,5661
48,8842,186.6878037,2857
49,6841,311.7729757,4660
50,-4314,360.1748493,5709
51,-3831,360.2160106,5701
52,9546,168.7796872,2669
53,7016,318.7010374,4902
54,-4910,360.086803,5796
55,-3781,360.1438529,5657
56,-4440,360.025882,5780
57,-3481,360.259351,5866
58,-4348,360.1633043,5586
59,-4491,360.2991159,4079
60,-3857,360.1047382,3945
61,9941,87.13893819,1269
62,9912,116.3862293,1898
63,-3511,360.2575729,5857
64,9915,87.99633288,1421
65,-4286,360.2046976,5651
66,7617,271.7610404,4366
67,9555,53.23900604,840
68,6219,352.5235949,5589
69,8112,273.5547657,4416
70,5617,355.9508257,5734
71,10449,113.1766312,1873
72,-3367,360.2179666,5747
73,10645,160.2602332,2561
74,-3503,360.2824371,5889
75,7999,170.7540298,2690
76,-4449,360.2338009,5791
77,-3365,354.1500471,5739
78,7393,232.5573874,3703
79,-3499,360.19819,5872
80,-3501,360.1922984,5827
81,7918,232.582768,3653
82,-5015,360.2443092,5830
83,-2505,360.3578377,5889
84,-3880,360.2848656,5763
85,-4511,360.2328408,5894
86,8861,91.78504682,1501
87,-3351,360.1456285,5765
88,7132,297.1761923,4793
89,-3532,360.1728647,5886
90,-4345,360.1967552,5713
91,10496,84.42166853,1363
92,-5945,360.2249947,5789
93,-4423,360.2153304,5788
94,-3486,360.1824954,5832
95,-4992,360.2274258,5827
96,9358,97.21701264,1487
97,-3502,360.2416272,5864
98,-4029,360.3580978,5834
99,-2872,360.2917907,5736
