Number of attempt,Reward,Time taken,Number of actions
0,831.0,360.1239540576935,1169
1,-593.0,360.43050241470337,1094
2,11351.0,50.02429175376892,149
3,1969.0,360.1561131477356,1031
4,496.0,360.5457172393799,1005
5,11718.0,288.7499752044678,783
6,2048.0,360.3131878376007,953
7,1059.0,360.3541235923767,942
8,1065.0,360.31090259552,935
9,1567.0,360.2310836315155,933
10,1068.0,360.32486748695374,932
11,12535.0,180.82640290260315,466
12,12581.0,357.45061349868774,919
13,2081.0,360.38143587112427,920
14,1083.0,360.58460211753845,918
15,-416.0,360.38925409317017,917
16,-416.0,360.20869040489197,916
17,585.0,360.55823254585266,916
18,1086.0,360.4005584716797,915
19,1085.0,360.2888798713684,915
20,2086.0,360.27251720428467,914
21,1086.0,360.45708680152893,915
22,10990.0,201.00140643119812,510
23,1086.0,360.51842188835144,915
24,-414.0,360.3091263771057,914
25,11528.0,185.98745894432068,472
26,1086.0,360.51820063591003,915
27,1455.0,214.95453262329102,545
28,592.0,360.52098059654236,909
29,1587.0,360.4386477470398,914
30,11667.0,329.1609480381012,833
31,1588.0,360.18382811546326,912
32,1588.0,360.2994043827057,912
33,3089.0,360.51806259155273,912
34,794.0,82.18420934677124,207
35,2090.0,360.3488962650299,910
36,12209.0,115.31679606437683,291
37,12648.0,139.9192464351654,352
38,1382.0,245.45855498313904,619
39,1096.0,160.933673620224,405
40,11458.0,215.21946048736572,542
41,1092.0,360.38639307022095,909
42,2094.0,360.31077218055725,906
43,2092.0,360.2928235530853,908
44,1592.0,360.2146453857422,908
45,11859.0,56.21153807640076,141
46,592.0,360.53888630867004,909
47,2093.0,360.4948401451111,908
48,1093.0,360.54926657676697,908
49,1093.0,360.27682304382324,907
50,1093.0,360.41231894493103,908
51,1092.0,360.21586060523987,908
52,1092.0,360.2775731086731,908
53,1598.0,360.3163208961487,902
54,592.0,360.2786145210266,908
55,1093.0,360.51493883132935,908
56,1094.0,360.4194185733795,907
57,1093.0,360.5165116786957,908
58,593.0,360.3264629840851,908
59,593.0,360.541743516922,908
60,1593.0,360.1775527000427,907
61,1093.0,360.23507595062256,907
62,1094.0,360.51336550712585,907
63,2093.0,360.30761218070984,907
64,1592.0,360.2319486141205,908
65,2092.0,360.2621970176697,908
66,13251.0,298.0506076812744,750
67,3094.0,360.184987783432,906
68,13175.0,327.93576550483704,825
69,11377.0,49.103768825531006,123
70,3091.0,360.277672290802,909
71,2092.0,360.3720977306366,908
72,1095.0,360.42358660697937,906
73,2094.0,360.36877369880676,907
74,596.0,360.47456645965576,905
75,1593.0,360.20110416412354,907
76,1093.0,360.20409297943115,907
77,1815.0,74.05392241477966,186
78,1093.0,360.2151229381561,907
79,11265.0,93.86129808425903,236
80,1594.0,360.4104208946228,907
81,-407.0,360.2831332683563,907
82,593.0,360.3303632736206,907
83,-406.0,360.491192817688,907
84,-406.0,360.45058512687683,907
85,10820.0,71.95716571807861,181
86,1598.0,360.29582357406616,902
87,1215.0,312.0469524860382,785
88,1095.0,360.48104333877563,906
89,2094.0,360.2552683353424,906
90,594.0,360.544549703598,907
91,1094.0,360.67078614234924,907
92,1595.0,360.49789476394653,906
93,595.0,360.51965522766113,906
94,1094.0,360.5595061779022,907
95,1094.0,360.24408173561096,906
96,1596.0,360.2740104198456,904
97,1094.0,360.2154839038849,906
98,1094.0,360.4736692905426,907
99,1094.0,360.4902467727661,907
