Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-539,300.3718441,1040,1
1,-533,300.3595343,1034,1
2,-489,300.1884201,989,1
3,-987,300.2740417,987,0
4,-488,300.2434518,988,1
5,-484,300.4164934,985,1
6,-483,300.4098701,984,1
7,-982,300.219229,982,0
8,-484,300.2456543,984,1
9,-979,300.4546578,980,0
10,-447,300.3649993,948,1
11,-945,300.4876359,946,0
12,79,300.2861755,921,2
13,-401,300.1900766,901,1
14,-402,300.2768042,902,1
15,114,300.4312024,887,2
16,-364,300.361058,865,1
17,-365,300.190886,865,1
18,-362,300.3726552,863,1
19,-363,300.2769876,863,1
20,-354,300.5084851,855,1
21,-353,300.2576535,853,1
22,-353,300.2505662,853,1
23,-853,300.1741478,853,0
24,-852,300.269048,852,0
25,-851,300.5598166,852,0
26,-343,300.3570075,844,1
27,-326,300.1966674,826,1
28,-825,300.5253484,826,0
29,177,300.5943513,824,2
