Number of attempt,Reward,Time taken,Number of actions
0,11169.0,101.78944802284241,331
1,1390.0,360.1585249900818,1110
2,1985.0,360.4704010486603,1016
3,1026.0,360.2030465602875,974
4,-460.0,360.51381754875183,961
5,40.0,360.4981036186218,961
6,12234.0,288.2118422985077,767
7,1057.0,360.4057490825653,944
8,2061.0,360.3156113624573,939
9,1066.0,360.3154034614563,934
10,1067.0,360.46402859687805,934
11,-434.0,360.3450446128845,934
12,-433.0,360.39852714538574,934
13,11038.0,178.73066520690918,463
14,809.0,267.534015417099,692
15,1573.0,360.2658443450928,927
16,1074.0,360.330197095871,926
17,1074.0,360.5417926311493,927
18,1575.0,360.3676335811615,926
19,1076.0,360.5671863555908,925
20,1075.0,360.3810946941376,926
21,2074.0,360.3422861099243,926
22,1075.0,360.60959243774414,926
23,1083.0,360.24657464027405,917
24,2073.0,360.5617551803589,928
25,2073.0,360.16682267189026,927
26,1574.0,360.49992513656616,927
27,1075.0,360.2277479171753,925
28,1576.0,360.4383566379547,925
29,1078.0,360.3628001213074,923
30,1575.0,360.51797747612,926
31,1575.0,360.17284655570984,925
32,575.0,360.269944190979,925
33,1076.0,360.2300343513489,924
34,2076.0,360.38527512550354,925
35,11737.0,103.3932683467865,264
36,3080.0,360.51005005836487,921
37,11093.0,159.7121376991272,408
38,578.0,360.29668736457825,922
39,2137.0,337.902334690094,864
40,1082.0,360.30669260025024,919
41,-417.0,360.34328413009644,917
42,12082.0,359.76195335388184,918
43,1086.0,360.42106342315674,915
44,1583.0,360.44352197647095,918
45,-417.0,360.2088153362274,917
46,1082.0,360.3061487674713,918
47,1082.0,360.27045011520386,918
48,-416.0,360.37299704551697,917
49,11838.0,260.58365869522095,663
50,10809.0,75.3193576335907,191
51,595.0,360.44090819358826,906
52,584.0,360.26754879951477,916
53,12728.0,303.7334418296814,772
54,13319.0,268.15246295928955,682
55,1085.0,360.28609585762024,915
56,1085.0,360.232084274292,915
57,12876.0,246.0092658996582,625
58,1585.0,360.2896158695221,915
59,2086.0,360.3613154888153,915
60,-416.0,360.61700987815857,917
61,85.0,360.1971411705017,915
62,12296.0,80.54219913482666,204
63,588.0,360.58633637428284,913
64,85.0,360.2762713432312,915
65,585.0,360.3391332626343,915
66,2085.0,360.37359976768494,916
67,1585.0,360.6376769542694,916
68,1585.0,360.5166349411011,916
69,2085.0,360.5112338066101,916
70,-414.0,360.3807911872864,915
71,-415.0,360.3236131668091,915
72,3085.0,360.2973802089691,915
73,1088.0,360.3836872577667,912
74,12232.0,106.23326992988586,269
75,-414.0,360.3131175041199,914
76,2086.0,360.2910056114197,914
77,1086.0,360.27794647216797,914
78,2586.0,360.2432496547699,914
79,11938.0,221.73227429389954,562
80,1586.0,360.1940863132477,914
81,1087.0,360.5684812068939,914
82,11691.0,122.49456691741943,310
83,10977.0,206.79007983207703,524
84,1587.0,360.25821685791016,913
85,1118.0,360.34428191185,883
86,1115.0,360.50914192199707,886
87,118.0,360.46418929100037,883
88,120.0,360.3340873718262,880
89,2119.0,360.2386691570282,881
90,1120.0,360.580890417099,881
91,2620.0,360.52179527282715,881
92,-285.0,322.3286123275757,786
93,1619.0,360.4502785205841,882
94,922.0,237.21512722969055,579
95,1117.0,360.3270230293274,883
96,-380.0,360.23893189430237,880
97,2120.0,360.1551172733307,880
98,619.0,360.49861001968384,882
99,2620.0,360.38979625701904,881
