Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-523,300.2787106,1024,1
1,-549,300.3746016,1050,1
2,-556,300.1926558,1056,1
3,-540,300.2494388,1041,1
4,-506,300.205332,1006,1
5,-503,300.1210215,1003,1
6,-505,300.1880221,1005,1
7,-504,300.2868118,1005,1
8,-504,300.1794455,1004,1
9,-466,300.3881252,967,1
10,-427,300.3634021,928,1
11,-428,300.2628322,928,1
12,-427,300.453527,928,1
13,-426,300.3619885,927,1
14,101,300.197027,899,2
15,-363,300.4751399,864,1
16,-364,300.3023419,864,1
17,142,300.2587185,858,2
18,-340,300.3979671,841,1
19,161,300.3330748,839,2
20,-836,300.2083478,836,0
21,-835,300.3973501,836,0
22,164,300.4442353,837,2
23,-335,300.5347617,836,1
24,-335,300.2786393,835,1
25,-337,300.1898596,837,1
26,-332,300.4267366,833,1
27,-332,300.323231,832,1
28,-331,300.4164014,832,1
29,-324,300.2183416,824,1
