Number of attempt,Reward,Time taken,Number of actions
0,-16.0,300.4285125732422,1017
1,-424.0,300.2861285209656,924
2,-890.0,300.301141500473,890
3,-356.0,300.2569591999054,856
4,-353.0,300.36179780960083,854
5,149.0,300.4312994480133,852
6,-350.0,300.51221656799316,851
7,-349.0,300.30835580825806,849
8,-346.0,300.5020351409912,847
9,-837.0,300.44299268722534,838
10,-322.0,300.2544503211975,822
11,-319.0,300.40234303474426,820
12,-312.0,300.5132095813751,813
13,-313.0,300.6435196399689,814
14,193.0,300.3324625492096,807
15,-299.0,300.3622217178345,799
16,-295.0,300.24998474121094,795
17,-793.0,300.46039509773254,794
18,-293.0,300.562801361084,794
19,-292.0,300.5215229988098,793
20,-292.0,300.45571970939636,793
21,-292.0,300.2566030025482,792
22,-292.0,300.43008756637573,793
23,208.0,300.6411683559418,793
24,-292.0,300.4969778060913,793
25,-293.0,300.4311764240265,794
26,-793.0,300.4223349094391,794
27,-793.0,300.3052234649658,793
28,-792.0,300.5050210952759,793
29,-290.0,300.55428528785706,791
