,Number of attempt,Reward,Time taken,Number of actions
0,0,-998.0,300.1623785495758,998
1,1,-501.0,300.17250394821167,1001
2,2,-458.0,300.47128438949585,959
3,3,-450.0,300.32068634033203,951
4,4,106.0,300.324001789093,894
5,5,-371.0,300.4843099117279,872
6,6,-869.0,300.3345639705658,869
7,7,-337.0,300.5770146846771,838
8,8,-833.0,300.42307233810425,834
9,9,-832.0,300.60799050331116,833
10,10,-331.0,300.29514932632446,831
11,11,-830.0,300.25008845329285,830
12,12,-330.0,300.4986696243286,831
13,13,-328.0,300.4214496612549,829
14,14,-330.0,300.30326628685,830
15,15,-329.0,300.40802478790283,830
16,16,-329.0,300.44822216033936,830
17,17,-329.0,300.34121799468994,829
18,18,-328.0,300.62484431266785,829
19,19,-328.0,300.37937664985657,828
20,20,-328.0,300.28450059890747,828
21,21,-328.0,300.4436995983124,829
22,22,-329.0,300.34580087661743,829
23,23,-328.0,300.28996324539185,828
24,24,-328.0,300.28932070732117,828
25,25,-827.0,300.22047209739685,827
26,26,-327.0,300.26347637176514,827
27,27,-827.0,300.47249150276184,828
28,28,-327.0,300.4420278072357,828
29,29,-826.0,300.59388256073,827
