Number of attempt,Reward,Time taken,Number of actions,Number of objects found
0,-150,299.1254013,650,1
1,-202,300.6337714,703,1
2,-193,300.568167,694,1
3,-137,300.3767428,637,1
4,-620,300.3280156,620,0
5,-612,300.7741134,613,0
6,-600,300.2904849,600,0
7,-91,300.7759104,592,1
8,-92,300.7158182,593,1
9,418,300.7464371,583,2
10,-53,300.4596133,553,1
11,11519,264.800127,482,4
12,-31,300.5090187,531,1
13,-527,300.9848449,528,0
14,-17,300.5402443,517,1
15,487,300.7647138,514,2
16,-23,300.7013032,524,1
17,-27,300.5419533,527,1
18,-10,300.5083175,510,1
19,-10,300.6634583,511,1
20,-15,300.6341918,515,1
21,-509,300.5194261,509,0
22,-23,300.404669,523,1
23,480,300.622838,521,2
24,-35,300.4170594,535,1
25,15,300.7179928,486,1
26,40,300.9252551,461,1
27,-482,300.8651018,483,0
28,79,300.828871,422,1
29,142,300.9429393,359,1
