,Number of attempt,Reward,Time taken,Number of actions
0,0,-498.0,298.0540964603424,998
1,1,-535.0,300.2460744380951,1036
2,2,-533.0,300.25776410102844,1033
3,3,-517.0,300.112690448761,1017
4,4,-1008.0,300.3261601924896,1009
5,5,-1003.0,300.3360478878021,1004
6,6,-497.0,300.1758041381836,997
7,7,-484.0,300.42387652397156,985
8,8,-973.0,300.3986818790436,974
9,9,-484.0,300.3425805568695,985
10,10,-478.0,300.2145276069641,978
11,11,-459.0,300.21455574035645,959
12,12,-470.0,300.2463490962982,970
13,13,-472.0,300.1933403015137,972
14,14,-472.0,300.0956358909607,972
15,15,-470.0,300.09088015556335,970
16,16,-468.0,300.2877199649811,968
17,17,-957.0,300.2321228981018,957
18,18,-450.0,300.24417638778687,950
19,19,-956.0,300.428524017334,957
20,20,-452.0,300.3924548625946,953
21,21,-941.0,300.35633063316345,942
22,22,-429.0,300.451416015625,930
23,23,-427.0,300.30039620399475,927
24,24,-435.0,300.4383885860443,936
25,25,-436.0,300.45452332496643,937
26,26,-435.0,300.2060136795044,935
27,27,-434.0,300.4912283420563,935
28,28,-934.0,300.171537399292,934
29,29,-436.0,300.4080972671509,937
