Number of attempt,Reward,Time taken,Number of actions
0,-141.0,358.3734006881714,1141
1,11671.0,274.9034523963928,830
2,1454.0,360.4395127296448,1047
3,10726.0,97.67349171638489,274
4,1036.0,360.6291699409485,965
5,554.0,360.618084192276,947
6,1082.0,360.5544104576111,919
7,1587.0,360.48082399368286,914
8,1587.0,360.22933173179626,913
9,13186.0,321.7685647010803,814
10,-411.0,360.27309679985046,911
11,11995.0,200.2156229019165,505
12,1594.0,360.41586661338806,907
13,1596.0,360.59228229522705,905
14,11644.0,341.9489691257477,856
15,2107.0,360.4202778339386,894
16,1608.0,360.6305387020111,893
17,1822.0,72.5036780834198,178
18,-388.0,360.4125213623047,889
19,1112.0,360.58693170547485,889
20,-389.0,360.4720401763916,890
21,1112.0,360.29645133018494,888
22,1115.0,360.3340356349945,885
23,-385.0,360.2339520454407,885
24,-387.0,360.4350006580353,887
25,116.0,360.4137990474701,885
26,115.0,360.4229166507721,886
27,11261.0,97.49180388450623,239
28,1114.0,360.32082533836365,887
29,11409.0,240.48795437812805,591
30,616.0,360.28631353378296,884
31,1117.0,360.5900228023529,884
32,2420.0,237.0543291568756,581
33,1617.0,360.2199959754944,883
34,11527.0,193.9286549091339,474
35,11610.0,160.1673722267151,391
36,-380.0,360.5242555141449,881
37,2118.0,360.38861560821533,882
38,1118.0,360.2205123901367,882
39,11351.0,265.96565532684326,650
40,1777.0,296.0561661720276,724
41,2119.0,360.51522517204285,882
42,619.0,360.32091331481934,881
43,1119.0,360.50739789009094,882
44,11547.0,185.64316654205322,453
45,1120.0,360.3699119091034,881
46,1120.0,360.5736196041107,881
47,1126.0,360.4415397644043,875
48,120.0,360.22674894332886,880
49,-380.0,360.2524769306183,880
50,2121.0,360.49164605140686,880
51,11667.0,341.1205623149872,833
52,1318.0,74.78701043128967,182
53,280.0,294.9428641796112,720
54,2122.0,360.47284269332886,879
55,1122.0,360.51246190071106,879
56,-379.0,360.3217701911926,879
57,620.0,360.4763879776001,881
58,1119.0,360.40827345848083,881
59,120.0,360.59663581848145,881
60,11713.0,118.44798684120178,288
61,121.0,360.2933728694916,879
62,-380.0,360.52973318099976,881
63,1121.0,360.50823736190796,880
64,1696.0,329.4422628879547,805
65,1121.0,360.4559290409088,880
66,622.0,360.47015500068665,879
67,12132.0,151.0821189880371,368
68,-380.0,360.2829165458679,880
69,1121.0,360.2529227733612,879
70,10368.0,54.40750479698181,132
71,12224.0,113.59447860717773,277
72,620.0,360.47476744651794,881
73,-376.0,360.4316635131836,877
74,1123.0,360.6246156692505,878
75,1120.0,360.315397977829,880
76,1620.0,360.37002825737,880
77,354.0,264.8938658237457,647
78,1121.0,360.44435596466064,880
79,1620.0,360.36467719078064,880
80,10782.0,89.48145985603333,218
81,1120.0,360.44312167167664,881
82,1120.0,360.3252143859863,880
83,11269.0,95.27567076683044,232
84,-381.0,360.56945395469666,882
85,-381.0,360.2551510334015,881
86,1620.0,360.6442697048187,881
87,-379.0,360.5150246620178,880
88,1622.0,360.5589532852173,879
89,819.0,279.0735750198364,681
90,1121.0,360.45399284362793,880
91,122.0,360.4514796733856,879
92,367.0,259.8762757778168,634
93,1121.0,360.42659091949463,880
94,-380.0,360.244512796402,880
95,642.0,147.16798901557922,359
96,1120.0,360.413015127182,881
97,1515.0,199.35824012756348,486
98,620.0,360.31720423698425,880
99,1121.0,360.5902786254883,880
