Number of attempt,Reward,Time taken,Number of actions
0,-17617.0,359.9459764957428,15871
1,-212.0,34.48107123374939,1504
2,-17547.0,359.96820998191833,15750
3,-18706.0,359.9414360523224,16726
4,-5666.0,115.1381983757019,5375
5,-686.0,22.081966400146484,1044
6,364.0,21.338953971862793,995
7,-11680.0,227.26793026924133,10754
8,-1749.0,51.634963512420654,2417
9,11180.0,6.09171462059021,278
10,7600.0,44.70548748970032,926
11,-5912.0,128.29701924324036,2652
12,250.0,4.881948709487915,106
13,-18829.0,359.97019124031067,16361
14,-1068.0,29.341560125350952,1362
15,6268.0,70.61672472953796,3290
16,-2599.0,49.034913778305054,2274
17,8664.0,53.523911476135254,2284
18,-5000.0,102.39326810836792,3213
19,-12524.0,243.30257391929626,4786
20,-8370.0,165.4866008758545,3322
21,-51.0,0.9494626522064209,17
22,119.0,193.59446668624878,3840
23,-5398.0,100.32878756523132,2065
24,-18749.0,360.0011124610901,14143
25,6678.0,90.28714156150818,4101
26,-17227.0,359.9856595993042,16423
27,-1626.0,30.226195335388184,1429
28,-18830.0,359.96074175834656,16890
29,-4832.0,99.7089536190033,4703
30,-578.0,20.11721920967102,969
31,7725.0,99.64561533927917,4612
32,-18762.0,359.94526290893555,16904
33,-18711.0,359.95921993255615,16847
34,-15703.0,295.1699159145355,13754
35,9903.0,29.758444786071777,1404
36,-734.0,32.45723080635071,1524
37,-17217.0,359.9677035808563,16773
38,2438.0,150.06383061408997,7057
39,8973.0,18.84861135482788,884
40,-7202.0,144.7874755859375,6661
41,-5045.0,94.89730978012085,4415
42,1587.0,157.19277358055115,7364
43,-332.0,15.752887487411499,741
44,-19264.0,359.9507489204407,16885
45,-1239.0,32.93395519256592,1519
46,10941.0,10.417149543762207,487
47,-14066.0,272.740385055542,12763
48,-19196.0,359.9702036380768,16845
49,-120.0,2.3726565837860107,99
50,-15613.0,300.1685698032379,11703
51,-10236.0,238.33744716644287,4787
52,-18791.0,359.95872592926025,7177
53,-16446.0,316.3466737270355,6400
54,10689.0,5.684326410293579,109
55,-17298.0,359.94380712509155,15099
56,10398.0,30.00478720664978,1411
57,-19243.0,359.9671907424927,16922
58,-936.0,17.539112329483032,807
59,-18804.0,359.965696811676,16851
60,-2765.0,99.18584442138672,4607
61,-1097.0,20.922066926956177,980
62,-11346.0,241.67941999435425,11308
63,-5904.0,109.8493390083313,5155
64,-14668.0,276.0879430770874,12798
65,-12165.0,238.07454895973206,11065
66,-8830.0,174.14345860481262,8136
67,5314.0,87.51105499267578,4090
68,-17242.0,359.9479558467865,16851
69,-231.0,4.520911931991577,207
70,11028.0,18.09263277053833,854
71,-5254.0,135.14721393585205,6291
72,-9767.0,193.5964674949646,8958
73,10568.0,8.337709665298462,367
74,-4687.0,116.19038558006287,5410
75,-5811.0,117.67242336273193,5556
76,9896.0,21.008835077285767,981
77,-18227.0,359.95572304725647,15755
78,-19310.0,359.9686872959137,8281
79,-1060.0,217.02182960510254,4289
80,-1422.0,26.958930015563965,587
81,-6087.0,113.65815329551697,2251
82,9099.0,26.365027904510498,592
83,6756.0,89.0708863735199,2083
84,-2874.0,240.27962350845337,7950
85,8667.0,25.345245838165283,673
86,2467.0,178.2963559627533,7828
87,1437.0,159.99627709388733,7491
88,-12501.0,242.7650122642517,11325
89,9218.0,43.28328824043274,2007
90,2424.0,140.37025237083435,6651
91,-19191.0,359.96668767929077,16929
92,-176.0,3.3739798069000244,151
93,-3416.0,111.33786630630493,5157
94,-19212.0,360.00660037994385,16812
95,503.0,9.049806833267212,436
96,-15200.0,285.2085461616516,13288
97,3343.0,124.27975988388062,5811
98,6752.0,70.39381790161133,3284
99,-161.0,3.2921993732452393,140
