Number of attempt,Reward,Time taken,Number of actions
0,10221.0,83.24639129638672,279
1,-64.0,18.950085639953613,64
2,-159.0,360.2089970111847,1159
3,-179.0,58.462456464767456,180
4,10174.0,108.06344199180603,327
5,1432.0,23.351418256759644,68
6,491.0,3.791543483734131,10
7,517.0,360.18435192108154,983
8,9822.0,68.61137223243713,179
9,10255.0,296.8266260623932,746
10,-40.0,16.930723905563354,41
11,-879.0,360.376722574234,880
12,9955.0,18.725773572921753,45
13,212.0,119.81741857528687,289
14,469.0,13.243483066558838,31
15,1113.0,165.0149462223053,388
16,483.0,7.630119800567627,17
17,1183.0,360.54854130744934,818
18,-801.0,360.3979949951172,802
19,11354.0,66.58635568618774,147
20,10364.0,62.21788811683655,137
21,-799.0,360.53143405914307,800
22,483.0,8.518955945968628,18
23,9823.0,80.83875179290771,177
24,219.0,360.6671862602234,782
25,227.0,360.25806975364685,773
26,-767.0,360.4655222892761,768
27,-2.0,1.7657337188720703,3
28,1926.0,35.16684079170227,74
29,12477.0,11.19131088256836,23
30,1072.0,202.72305297851562,429
31,-406.0,192.58965253829956,406
32,-754.0,360.401531457901,755
33,215.0,138.10633969306946,286
34,10431.0,34.086007833480835,70
35,9960.0,261.1726839542389,540
36,10071.0,208.239759683609,429
37,9888.0,55.33414626121521,113
38,260.0,360.6991090774536,741
39,-355.0,173.62215042114258,356
40,-238.0,360.32865023612976,738
41,334.0,81.78554606437683,166
42,11457.0,21.996341943740845,44
43,417.0,41.1781005859375,83
44,11288.0,105.20016884803772,213
45,-8.0,4.764972686767578,9
46,11467.0,16.726592302322388,33
47,-726.0,360.38680243492126,726
48,13320.0,90.83266472816467,181
49,151.0,174.9831726551056,349
50,45.0,228.76140522956848,456
51,312.0,94.62782001495361,189
52,-17.0,9.146992683410645,18
53,-719.0,360.4850399494171,720
54,9948.0,26.958924770355225,53
55,10111.0,195.6093888282776,390
56,2424.0,38.90711236000061,77
57,1197.0,152.53205704689026,304
58,439.0,31.490829467773438,62
59,-605.0,302.82614398002625,605
60,10490.0,5.841924428939819,11
61,12344.0,78.94662880897522,157
62,9384.0,309.06425976753235,617
63,267.0,117.58208703994751,234
64,-614.0,311.49280738830566,615
65,-122.0,61.861568212509155,123
66,-586.0,293.9843239784241,587
67,-11.0,6.431617736816406,12
68,-337.0,169.0401394367218,337
69,-15.0,7.836791038513184,15
70,-220.0,360.33401322364807,720
71,454.0,24.207591772079468,47
72,-335.0,167.97557044029236,335
73,1494.0,4.051000118255615,7
74,9834.0,335.5429563522339,666
75,780.0,360.365665435791,720
76,-219.0,360.2907347679138,719
77,10989.0,6.452279806137085,12
78,10490.0,5.567972183227539,10
79,9956.0,23.28256869316101,45
80,-98.0,49.49412989616394,98
81,9834.0,84.31170105934143,167
82,-2.0,1.3855767250061035,2
83,320.0,90.61359572410583,180
84,9975.0,13.367476224899292,26
85,947.0,27.551284551620483,54
86,-220.0,360.42269372940063,720
87,-79.0,39.9427433013916,79
88,11349.0,76.66316652297974,152
89,-219.0,360.62153458595276,720
90,-42.0,21.898859977722168,43
91,281.0,360.6345109939575,720
92,618.0,191.9636881351471,383
93,9938.0,32.077303409576416,63
94,9967.0,17.07983422279358,33
95,235.0,133.80697917938232,266
96,782.0,360.49312257766724,719
97,9908.0,47.30983352661133,93
98,10423.0,39.39846706390381,78
99,-218.0,360.5207498073578,719
