Number of attempt,Reward,Time taken,Number of actions
0,-1091,300.3561218,1092
1,-1074,300.249507,1074
2,-536,300.2021704,1036
3,-1000,300.381151,1001
4,-985,300.4414043,986
5,1154,300.3114786,846
6,-759,300.4935637,760
7,11777,90.7986865,224
8,10002,209.1644039,498
9,10307,300.6268513,694
10,-181,300.3866446,681
11,-173,300.368397,673
12,-670,300.5872505,671
13,-667,300.4539266,668
14,-167,300.2898996,667
15,-660,300.4019639,660
16,11665,154.90183,335
17,-642,300.5328238,643
18,-143,300.7530305,644
19,359,300.6701474,642
20,-636,300.4297183,636
21,-136,300.4906399,636
22,-136,300.5965192,637
23,364,300.7649782,637
24,-135,300.4830563,636
25,9363,269.2649958,569
26,-634,300.597326,635
27,-633,300.5550532,634
28,-133,300.3291886,633
29,814,89.15201426,187
