Number of attempt,Reward,Time taken,Number of actions
0,-510,300.212492,1010
1,-461,300.356498,962
2,-451,300.3882785,952
3,-915,300.2917743,915
4,-377,300.2355249,877
5,-865,300.2342505,865
6,-364,300.5825691,865
7,-362,300.3514216,862
8,-361,300.4723666,862
9,-343,300.3900862,843
10,-341,300.3578672,841
11,-328,300.5498478,829
12,-801,300.4519334,802
13,-302,300.3204265,802
14,-302,300.3547947,802
15,-301,300.2461135,801
16,-302,300.2999759,802
17,-302,300.3807659,802
18,-301,300.5735538,802
19,-300,300.3168609,800
20,-301,300.2485158,801
21,204,300.344018,796
22,-286,300.482219,787
23,-287,300.5467739,788
24,-278,300.5361648,779
25,-282,300.4173529,783
26,-282,300.3748503,782
27,-781,300.5821245,782
28,-282,300.5110571,783
29,-274,300.3131185,774
