Number of attempt,Reward,Time taken,Number of actions
0,10831,295.4879904,670
1,456,300.6663496,545
2,1056,301.0183375,445
3,9606,250.9132297,394
4,-453,300.7131402,454
5,1567,301.094717,434
6,597,300.9382968,404
7,107,301.1260369,394
8,106,301.1392536,395
9,609,301.046845,391
10,10474,22.2212894,27
11,115,300.7514324,385
12,616,301.1598353,385
13,1638,292.7874541,363
14,-366,300.8289838,367
15,9855,117.9421334,146
16,10179,262.410769,322
17,136,300.8185277,364
18,-364,301.3305726,365
19,638,300.7543406,362
20,-364,300.6684663,364
21,-359,301.351454,360
22,-360,301.141803,361
23,-367,300.9035888,368
24,10142,300.7184353,358
25,9962,33.95723248,37
26,2155,301.2490582,346
27,-334,300.9622657,335
28,-329,301.0607636,330
29,-327,301.3021429,328
