Number of attempt,Reward,Time taken,Number of actions
0,351.0,43.35316205024719,149
1,10343.0,50.68116641044617,157
2,10860.0,46.32723617553711,141
3,11481.0,6.216647624969482,19
4,1427.0,360.24989581108093,1073
5,312.0,66.05795478820801,189
6,-44.0,197.36432027816772,544
7,961.0,15.092287063598633,40
8,10302.0,74.40760612487793,199
9,-783.0,300.8754291534424,784
10,100.0,360.59221935272217,901
11,-381.0,360.5441355705261,882
12,342.0,65.48032569885254,159
13,-45.0,223.027010679245,545
14,1925.0,239.4423189163208,576
15,10772.0,98.99234819412231,229
16,10696.0,134.41098022460938,305
17,-196.0,88.10939598083496,196
18,10757.0,109.73282837867737,243
19,-270.0,123.2099061012268,271
20,1867.0,61.20614457130432,134
21,10144.0,162.98767375946045,356
22,819.0,84.0741355419159,182
23,-277.0,360.36197233200073,777
24,-776.0,360.38523030281067,777
25,9929.0,33.807841300964355,72
26,10308.0,89.84716653823853,193
27,-273.0,127.60129976272583,274
28,11988.0,5.930213689804077,12
29,-771.0,360.676011800766,772
30,9842.0,74.99163508415222,159
31,9982.0,9.285449028015137,19
32,1493.0,3.646008253097534,7
33,454.0,23.99170756340027,46
34,10746.0,122.81377339363098,255
35,11327.0,82.97941994667053,174
36,-427.0,204.28503012657166,427
37,751.0,360.636314868927,750
38,9925.0,36.415162801742554,75
39,-76.0,37.56916928291321,77
40,9866.0,65.3964011669159,135
41,-52.0,25.701669931411743,52
42,9949.0,25.428817987442017,52
43,1473.0,14.096649646759033,28
44,354.0,70.89811062812805,146
45,-105.0,51.05034279823303,105
46,10780.0,107.65676403045654,221
47,11028.0,230.1209523677826,472
48,11416.0,41.9299795627594,85
49,-737.0,360.3737063407898,737
50,-235.0,360.4667007923126,736
51,9290.0,348.30486273765564,711
52,-234.0,360.51115369796753,735
53,2488.0,252.559504032135,513
54,-231.0,360.3621220588684,731
55,-118.0,59.160362243652344,119
56,-48.0,24.095852375030518,48
57,770.0,360.58307242393494,731
58,12532.0,232.07883620262146,469
59,9937.0,31.932626008987427,64
60,-728.0,360.4123294353485,728
61,9880.0,59.80305480957031,120
62,-725.0,360.76609230041504,726
63,179.0,160.07129788398743,322
64,9867.0,66.88376379013062,134
65,987.0,6.730117321014404,13
66,646.0,176.572692155838,354
67,-632.0,316.35796093940735,633
68,103.0,198.86382627487183,397
69,-220.0,360.73352432250977,721
70,9919.0,40.64159941673279,81
71,11726.0,137.18719792366028,274
72,11458.0,21.503148317337036,42
73,9772.0,116.58638739585876,229
74,12442.0,29.089479684829712,58
75,1490.0,5.8122313022613525,11
76,-720.0,360.39416909217834,720
77,10918.0,41.86282968521118,83
78,-719.0,360.43344140052795,720
79,-88.0,44.360960245132446,88
80,-720.0,360.3610579967499,720
81,487.0,7.260016918182373,14
82,1888.0,56.95660328865051,113
83,-39.0,269.9002809524536,539
84,-720.0,360.7357540130615,721
85,9952.0,25.03872776031494,49
86,281.0,360.45888781547546,720
87,-720.0,360.42326951026917,720
88,-93.0,46.77414631843567,93
89,9673.0,164.32101225852966,328
90,-275.0,138.57249855995178,276
91,9891.0,55.02047872543335,109
92,-210.0,105.19929003715515,210
93,902.0,49.93596029281616,99
94,-112.0,306.87804794311523,613
95,9631.0,185.37918996810913,370
96,2464.0,18.99728298187256,37
97,107.0,197.24443078041077,394
98,-180.0,90.38075542449951,180
99,263.0,119.2315366268158,238
